,Hardware features - DS8000 disk drives,,,,,,,
,MT,Model,Feature,Feature Description,Drives per Feature,CoD Drive,Capacity (GB),Speed (RPM)
,2422.0,,2837.0,1 TB 7.2K SATA CoD Drive Set B,16.0,TRUE,1000.0,7200.0
,2422.0,,2916.0,2 TB 7.2K SATA Drive Set,16.0,FALSE,2000.0,7200.0
,2422.0,,2917.0,2 TB 7.2K SATA CoD Drive Set,16.0,FALSE,450.0,15000.0
,2422.0,,5016.0,146 GB 15K FDE Drive Set,16.0,FALSE,146.0,15000.0
,2422.0,,5017.0,146 GB 15K FDE CoD Drive Set,16.0,TRUE,146.0,15000.0
,2422.0,,5026.0,146 GB 15K FDE Drive Set A,16.0,FALSE,146.0,15000.0
,2422.0,,5027.0,146 GB 15K FDE CoD Drive Set A,16.0,TRUE,146.0,15000.0
,2422.0,,5036.0,146 GB 15K FDE Drive Set B,16.0,FALSE,146.0,15000.0
,2422.0,,5037.0,146 GB 15K FDE CoD Drive Set B,16.0,TRUE,146.0,15000.0
,2422.0,,5116.0,300 GB 15K FDE Drive Set,16.0,FALSE,300.0,15000.0
,2422.0,,5117.0,300 GB 15K FDE CoD Drive Set,16.0,TRUE,300.0,15000.0
,2422.0,,5126.0,300 GB 15K FDE Drive Set A,16.0,FALSE,300.0,15000.0
,2422.0,,5127.0,300 GB 15K FDE CoD Drive Set A,16.0,TRUE,300.0,15000.0
,2422.0,,5136.0,300 GB 15K FDE Drive Set B,16.0,FALSE,300.0,15000.0
,2422.0,,5137.0,300 GB 15K FDE CoD Drive Set B,16.0,TRUE,300.0,15000.0
,2422.0,,5216.0,450 GB 15K FDE Drive Set,16.0,FALSE,450.0,15000.0
,2422.0,,5217.0,450 GB 15K FDE CoD Drive Set,16.0,TRUE,450.0,15000.0
,2422.0,,5226.0,450 GB 15K FDE Drive Set A,16.0,FALSE,450.0,15000.0
,2422.0,,5227.0,450 GB 15K FDE CoD Drive Set A,16.0,TRUE,450.0,15000.0
,2422.0,,5236.0,450 GB 15K FDE Drive Set B,16.0,FALSE,450.0,15000.0
,2422.0,,5237.0,450 GB 15K FDE CoD Drive Set B,16.0,TRUE,450.0,15000.0
,2422.0,,5708.0,600 GB 10K FDE SAS Drive Set,16.0,FALSE,600.0,10000.0
,2422.0,,5758.0,900 GB 10K FDE SAS Drive Set,16.0,FALSE,900.0,10000.0
