,"Function authorization machine types, models, and features",,,,,,
,HW Machine Type,HW Model,HW Defines Features,FA Machine Type,FA Model,FA Sort Key,FA Feature
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7425.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7430.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7435.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7440.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7441.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7442.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7443.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7444.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7445.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7450.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7455.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7460.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7461.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7462.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7463.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7464.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7465.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7470.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7475.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7540.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7541.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7542.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7543.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7544.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7545.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7550.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7555.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7560.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7561.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7562.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7563.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7564.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7565.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7570.0
,2107.0,931.0,FALSE,2244.0,RMC,30.0,7575.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7600.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7601.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7602.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7603.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7604.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7605.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7610.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7615.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7630.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7631.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7632.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7633.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7634.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7635.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7640.0
,2107.0,931.0,FALSE,2244.0,RMZ,40.0,7645.0
,2107.0,931.0,FALSE,2244.0,PAV,50.0,7800.0
,2107.0,931.0,FALSE,2244.0,PAV,50.0,7801.0
,2107.0,931.0,FALSE,2244.0,PAV,50.0,7802.0
,2107.0,931.0,FALSE,2244.0,PAV,50.0,7803.0
