,Hardware features - DS8000,,,,,,,,
,MT,Model,Feature,Feature Description (30 char max),License Value Override,Licensed Function Indicator,IGF Transaction Indicator,CoD Machine Indicator,CoD Activation Period
,2107.0,922.0,7603.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7604.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7605.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7610.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7615.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7630.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7631.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7632.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7633.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7634.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7635.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7640.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7645.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7800.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7801.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7802.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7803.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7804.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7805.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7810.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7815.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,922.0,7899.0,IGF transaction: HyperPAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,0700,OEL indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0702,FICON / ESCON indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0707,TP indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0708,DB protection indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0709,zHPF indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0720,PTC indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0723,PTC add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0730,SE indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0733,SE add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0742,MGM indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0744,MM indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0746,GM indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0754,MM add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0756,GM add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0760,RMZ indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0763,RMZ resync indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0780,PAV indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0782,HyperPAV indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,931.0,0900,Non-Standby CoD,FALSE,FALSE,FALSE,FALSE,
,2107.0,931.0,0901,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,365.0
,2107.0,931.0,0902,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,365.0
,2107.0,931.0,0903,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,730.0
,2107.0,931.0,0904,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,3650.0
,2107.0,931.0,7000.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7001.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7002.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7003.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7004.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
